ISBN,Title of the Book,Author/s,Book type,Original Price (RRP),Discounted price,ISBN-10,Published Date,Publisher,No. of Pages
9780007461240,The Screwtape Letters: Letters From A Senior To A Junior Devil,C. S. Lewis,Paperback,19.99,18.25,7461240,2012-07-01,HarperCollins Publishers,224
9780349419220,Someone to Trust,Mary Balogh,Paperback,22.99,20.4,349419221,2018-11-27,Little Brown,400
9781841495965,The Traitor Queen,Trudi Canavan,Paperback,22.99,20.4,1841495964,2013-07-30,Little Brown,544
9781465458551,The Philosophy Book,Dk,Paperback,36.25,36.25,1465458557,2017-02-21,DK PUB INC                    ,352
9780356510644,The Unbound Empire,Melissa Caruso,Paperback,24.99,21.75,356510646,2019-04-23,Little Brown,560
9781529003314,Split Second,David Baldacci,Paperback,19.99,18.25,1529003318,2019-11-12,Pan Macmillan UK,608
9781846272998,Deep Sea and Foreign Going,Rose George,Paperback,24.99,21.75,1846272998,2014-08-01,Granta,320
9781509898831,Looking Good Dead,Peter James,Paperback,22.99,20.4,1509898832,2019-04-23,Pan Macmillan UK,544
9780755332557,Kiss,Jill Mansell,Paperback,26.99,26.25,755332555,2007-05-10,Headline,512
9780722538074,How to Talk to Anyone,Leil Lowndes,Paperback,24.99,21.75,722538073,1999-04-28,HarperCollins Publishers,352
9780761169253,Steal Like an Artist,Austin Kleon,Paperback,26.99,22.95,761169253,2012-05-01,Workman,160
9780765377104,Death's End,Cixin Liu,Hardcover,52.25,52.25,765377101,2016-09-20,TOR BOOKS                     ,608
9780141185071,East of Eden,John Steinbeck,Paperback,22.99,20.35,141185074,2003-10-01,Penguin UK,640
9781785760457,Exile,James Swallow,Paperback,27.99,23.75,1785760459,2018-04-24,Bonnier,576
9780525520375,There There,Tommy Orange,Hardcover,51.95,51.95,525520376,2018-06-05,KNOPF                         ,304
9780439023481,The Hunger Games (USA Edition),Suzanne Collins,Hardcover,40.75,40.75,439023483,2008-10-01,Scholastic US,384
9780316187169,New Joe Abercrombie Novel #1,Joe Abercrombie,Hardcover,51.75,51.75,031618716X,2019-09-17,ORBIT                         ,480
9780755307500,Small Island,Andrea Levy,Paperback,24.99,21.75,075530750X,2010-01-01,Headline,560
9780761144793,The G.I. Diet,Rick Gallop,Paperback,25.75,25.75,076114479X,2010-01-01,WORKMAN PR                    ,164
9780755349272,2nd Chance,James Patterson,Paperback,22.99,20.4,075534927X,2009-08-01,Headline,432
9781328508317,Council of Twelve,Oliver Potzsch,Paperback,37.49,37.49,1328508315,2018-05-29,MARINER BOOKS                 ,512
9780091816971,Who Moved My Cheese? ,Spencer Johnson,Paperback,19.99,18.25,91816971,1999-04-01,RANDOM HOUSE UK,96
9780446692649,Cat & Mouse,James Patterson,Paperback,41.16,41.16,446692646,2003-08-01,GRAND CENTRAL PUBL            ,419
9781101903919,Cravings,Chrissy Teigen,Hardcover,50.25,50.25,1101903910,2016-02-23,POTTER CLARKSON N             ,240
9780830844135,John,Michael Card,Paperback,37.07,37.07,830844139,2014-07-14,INTER VARSITY PR              ,237
9781509862344,The Man From St Petersburg,Ken Follett,Paperback,21.99,19.75,150986234X,2019-05-28,Pan Macmillan UK,464
9780674729018,Make It Stick,Peter C. Brown,Hardcover,59.95,39.75,674729013,2014-04-14,Harvard University Press,336
9780842313940,Hinds' Feet on High Places,Hannah Hurnard,Hardcover,28.99,26.25,084231394X,1986-07-25,TYNDALE PUB                   ,320
9780755374076,Goodnight Lady,Martina Cole,Paperback,24.99,21.75,075537407X,2011-01-01,Headline,832
9780768403053,Gateway to the Seer Realm,Barbie Breathitt,Paperback,32.63,32.63,768403057,2012-08-21,DESTINY IMAGE INC             ,316
9780751540031,From the Dead,Mark Billingham,Paperback,22.99,20.4,075154003X,2011-05-31,Little Brown,496
9780765377081,The Dark Forest,Cixin Liu,Hardcover,52.25,52.25,076537708X,2015-08-11,Tor Books,512
9780008168186,Tribe,Sebastian Junger,Paperback,19.99,18.25,8168180,2017-06-02,HarperCollins Publishers,192
9780755349296,4th of July,James Patterson,Paperback,22.99,20.4,755349296,2009-09-01,Headline,448
9781101984796,Christmas Bells,Jennifer Chiaverini,Paperback,44.25,44.25,1101984791,2016-10-11,Penguin Group USA,352
9780755399604,A Liverpool Legacy,Anne Baker,Paperback,27.5,27.5,755399609,2014-06-05,Headline,384
9780316388696,The Raven Tower,Ann Leckie,Hardcover,62.75,62.75,316388696,2019-02-26,ORBIT                         ,432
9780755349388,London Bridges,James Patterson,Paperback,22.99,20.35,755349385,2010-08-01,Headline,448
9780007152599,"Men Are From Mars, Women Are From Venus",John Gray,Paperback,24.99,21.75,7152590,2012-06-01,HarperCollins Publishers,320
9781844082414,The Night Watch,Sarah Waters,Paperback,24.99,21.75,1844082415,2006-06-01,Little Brown,506
9780486499055,Easy Spanish Phrase Book New Edition,Garcia Loaeza,Paperback,12.99,12.75,486499057,2013-03-21,Dover Publications Inc.,80
9780679720201,The Stranger,Albert Camus,Paperback,24.99,20.75,679720200,1989-03-13,RANDOM HOUSE US,144
9781538711804,Total Control,David Baldacci,Paperback,41.25,41.25,153871180X,2019-01-29,GRAND CENTRAL PUBL            ,656
9781250166548,Edgedancer,Brandon Sanderson,Hardcover,21.35,21.35,1250166543,2017-10-17,St Martin's Press,272
9780768413793,Unlocking Destinies From the Courts of Heaven Leader's Guide,Robert Henderson,Paperback,28.5,28.5,768413796,2017-03-21,,192
9780755378456,If You Were Me,Sheila O'Flanagan,Paperback,26.99,22.95,755378458,2015-05-12,Headline,464
9780862788438,Stakeknife,Greg Harkin,Paperback,36.75,36.75,862788439,2004-02-18,O'Brien Press Ltd,280
9780768448887,Redeeming Your Bloodline,Hrvoje Sirovina,Paperback,32.63,32.63,768448883,2019-05-01,SOUND WISDOM,224
9781408894811,Tenth of December,George Saunders,Paperback,22.99,20.4,1408894815,2017-12-01,Bloomsbury,288
9781250147905,The Hazel Wood,Melissa Albert,Hardcover,37.5,37.5,1250147905,2018-01-30,FLATIRON                      ,368
9780356500287,Fool Moon : Dresden Files,Jim Butcher,Paperback,20.4,20.4,356500284,2011-05-05,Little Brown,341
